"Group_name","IU_ID","IU_ID2"
"1","GHA21513","GHA21513"
"1","GHA21514","GHA21514"
"1","GHA21515","GHA21515"
"1","GHA21516","GHA21516"
"1","GHA21517","GHA21517"
"1","GHA21518","GHA21518"
"1","GHA21519","GHA21519"
"1","GHA21521","GHA21521"
"1","GHA21523","GHA21523"
"1","GHA21524","GHA21524"
"1","GHA21525","GHA21525"
"1","GHA21526","GHA21526"
"1","GHA21527","GHA21527"
"1","GHA21528","GHA21528"
"1","GHA21529","GHA21529"
"1","GHA21530","GHA21530"
"1","GHA21531","GHA21531"
"1","GHA21532","GHA21532"
"1","GHA21534","GHA21534"
"1","GHA21536","GHA21536"
"1","GHA21537","GHA21537"
"1","GHA21539","GHA21539"
"1","GHA21540","GHA21540"
"1","GHA21541","GHA21541"
"1","GHA21542","GHA21542"
"1","GHA21543","GHA21543"
"1","GHA21544","GHA21544"
"1","GHA21545","GHA21545"
"1","GHA21546","GHA21546"
"1","GHA21547","GHA21547"
"1","GHA21548","GHA21548"
"1","GHA21549","GHA21549"
"1","GHA21550","GHA21550"
"1","GHA21551","GHA21551"
"1","GHA21552","GHA21552"
"1","GHA21553","GHA21553"
"1","GHA21554","GHA21554"
"1","GHA21555","GHA21555"
"1","GHA21556","GHA21556"
"1","GHA21557","GHA21557"
"1","GHA21558","GHA21558"
"1","GHA21559","GHA21559"
"1","GHA21560","GHA21560"
"1","GHA21561","GHA21561"
"1","GHA21562","GHA21562"
"1","GHA21563","GHA21563"
"1","GHA21564","GHA21564"
"1","GHA21565","GHA21565"
"1","GHA21566","GHA21566"
"1","GHA21568","GHA21568"
"1","GHA21569","GHA21569"
"1","GHA21570","GHA21570"
"1","GHA21571","GHA21571"
"1","GHA21572","GHA21572"
"1","GHA21573","GHA21573"
"1","GHA21574","GHA21574"
"1","GHA21575","GHA21575"
"1","GHA21576","GHA21576"
"1","GHA21577","GHA21577"
"1","GHA21578","GHA21578"
"1","GHA21579","GHA21579"
"1","GHA21580","GHA21580"
"1","GHA21581","GHA21581"
"1","GHA21583","GHA21583"
"1","GHA21584","GHA21584"
"1","GHA21585","GHA21585"
"1","GHA21586","GHA21586"
"1","GHA21587","GHA21587"
"1","GHA21588","GHA21588"
"1","GHA21589","GHA21589"
"1","GHA21590","GHA21590"
"1","GHA21592","GHA21592"
"1","GHA21593","GHA21593"
"1","GHA21594","GHA21594"
"1","GHA21595","GHA21595"
"1","GHA21597","GHA21597"
"1","GHA21598","GHA21598"
"1","GHA21599","GHA21599"
"1","GHA21600","GHA21600"
"1","GHA21601","GHA21601"
"1","GHA21602","GHA21602"
"1","GHA21603","GHA21603"
"1","GHA21604","GHA21604"
"1","GHA21605","GHA21605"
"1","GHA21606","GHA21606"
"1","GHA21607","GHA21607"
"1","GHA21608","GHA21608"
"1","GHA21609","GHA21609"
"1","GHA21610","GHA21610"
"1","GHA21611","GHA21611"
"1","GHA21612","GHA21612"
"1","GHA21613","GHA21613"
"1","GHA21614","GHA21614"
"1","GHA21615","GHA21615"
"1","GHA21616","GHA21616"
"1","GHA21617","GHA21617"
"1","GHA21618","GHA21618"
"1","GHA21619","GHA21619"
"1","GHA21620","GHA21620"
"1","GHA21621","GHA21621"
"1","GHA21622","GHA21622"
"1","GHA21623","GHA21623"
"1","GHA21624","GHA21624"
"1","GHA21625","GHA21625"
"1","GHA21626","GHA21626"
"1","GHA21627","GHA21627"
"1","GHA21628","GHA21628"
"1","GHA21629","GHA21629"
"1","GHA21630","GHA21630"
"1","GHA21631","GHA21631"
"1","GHA21632","GHA21632"
"1","GHA21633","GHA21633"
"1","GHA21634","GHA21634"
"1","GHA21635","GHA21635"
"1","GHA21636","GHA21636"
"1","GHA21637","GHA21637"
"1","GHA21638","GHA21638"
"1","GHA21639","GHA21639"
"1","GHA21640","GHA21640"
"1","GHA21641","GHA21641"
"1","GHA21642","GHA21642"
"1","GHA21643","GHA21643"
"1","GHA21644","GHA21644"
"1","GHA21645","GHA21645"
"1","GHA21646","GHA21646"
"1","GHA21647","GHA21647"
"1","GHA21648","GHA21648"
"1","GHA21649","GHA21649"
"1","GHA21650","GHA21650"
"1","GHA21651","GHA21651"
"1","GHA21652","GHA21652"
"1","GHA21653","GHA21653"
"1","GHA21654","GHA21654"
"1","GHA21655","GHA21655"
"1","GHA21656","GHA21656"
"1","GHA21657","GHA21657"
"1","GHA21658","GHA21658"
"1","GHA21659","GHA21659"
"1","GHA21660","GHA21660"
"1","GHA21661","GHA21661"
"1","GHA21662","GHA21662"
"1","GHA21663","GHA21663"
"1","GHA21664","GHA21664"
"1","GHA21665","GHA21665"
"1","GHA21666","GHA21666"
"1","GHA21667","GHA21667"
"1","GHA21668","GHA21668"
"1","GHA21669","GHA21669"
"1","GHA21670","GHA21670"
"1","GHA21671","GHA21671"
"1","GHA21672","GHA21672"
"1","GHA21673","GHA21673"
"1","GHA21674","GHA21674"
"1","GHA21675","GHA21675"
"1","GHA21676","GHA21676"
"1","GHA21677","GHA21677"
"1","GHA21678","GHA21678"
"1","GIN22604","GIN22604"
"1","GIN22605","GIN22605"
"1","GIN22606","GIN22606"
"1","GIN22607","GIN22607"
"1","GIN22608","GIN22608"
"1","GIN22609","GIN22609"
"1","GIN22610","GIN22610"
"1","GIN22611","GIN22611"
"1","GIN22612","GIN22612"
"1","GIN22613","GIN22613"
"1","GIN22614","GIN22614"
"1","GIN22615","GIN22615"
"1","GIN22616","GIN22616"
"1","GIN22617","GIN22617"
"1","GIN22618","GIN22618"
"1","GIN22619","GIN22619"
"1","GIN22620","GIN22620"
"1","GIN22621","GIN22621"
"1","GIN22622","GIN22622"
"1","GIN22623","GIN22623"
"1","GIN22624","GIN22624"
"1","GIN22625","GIN22625"
"1","GIN22626","GIN22626"
"1","GIN22627","GIN22627"
"1","GIN22628","GIN22628"
"1","GIN22629","GIN22629"
"1","GIN22630","GIN22630"
"1","GIN22631","GIN22631"
"1","GIN22632","GIN22632"
"1","GIN22633","GIN22633"
"1","GIN22634","GIN22634"
"1","GIN22635","GIN22635"
"1","GIN22636","GIN22636"
"1","GIN22637","GIN22637"
"1","GIN22638","GIN22638"
"1","GIN22639","GIN22639"
"1","GIN22640","GIN22640"
"1","GIN22641","GIN22641"
"1","GMB47623","GMB47623"
"1","GMB47624","GMB47624"
"1","GMB47625","GMB47625"
"1","GMB47626","GMB47626"
"1","GMB47627","GMB47627"
"1","GMB47628","GMB47628"
"1","GMB47629","GMB47629"
"1","GMB47630","GMB47630"
"1","GMB47631","GMB47631"
"1","GMB47632","GMB47632"
"1","GMB47633","GMB47633"
"1","GMB47634","GMB47634"
"1","GMB47635","GMB47635"
"1","GMB47636","GMB47636"
"1","GMB47637","GMB47637"
"1","GMB47638","GMB47638"
"1","GMB47639","GMB47639"
"1","GMB47641","GMB47641"
"1","GMB47642","GMB47642"
"1","GMB47643","GMB47643"
"1","GMB47644","GMB47644"
"1","GMB47645","GMB47645"
"1","GMB47646","GMB47646"
"1","GMB47647","GMB47647"
"1","GMB47648","GMB47648"
"1","GMB47649","GMB47649"
"1","GMB47650","GMB47650"
"1","GMB47651","GMB47651"
"1","GMB47652","GMB47652"
"1","GMB47653","GMB47653"
"1","GMB47654","GMB47654"
"1","GMB47655","GMB47655"
"1","GMB47657","GMB47657"
"1","GMB47658","GMB47658"
"1","GMB47659","GMB47659"
"1","GMB47660","GMB47660"
"1","GMB47661","GMB47661"
"1","GMB47662","GMB47662"
"1","GMB47663","GMB47663"
"1","GMB47664","GMB47664"
"1","GMB47665","GMB47665"
"1","GMB47666","GMB47666"
"1","GMB47667","GMB47667"
